title,description,favicon,language,keywords,ogLocaleAlternate,scrapeId,viewport,renderer,author,sourceURL,url,statusCode
达晨刘昼：留在牌桌，等待转机,https://www.fortunevc.com/favicon.ico,en,[],ccff6309-c55e-41c7-9b40-508a865ae0f2,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3714.html,https://www.fortunevc.com/index/shownews/id/3714.html,200
邵红霞,邵红霞,https://www.fortunevc.com/favicon.ico,en,邵红霞,[],c806d01b-2503-4f04-9bdf-d3035aa9a504,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/244.html,https://www.fortunevc.com/index/teaminfo/id/244.html,200
金融消费者权益保护教育宣传月活动启动,https://www.fortunevc.com/favicon.ico,en,[],cbb9a0d7-7f58-4231-9742-1af9257cccc2,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/3548.html,https://www.fortunevc.com/index/showeducate/id/3548.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],3576f4f4-7808-43b5-b069-59aa08922b63,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=4,https://www.fortunevc.com/index/project.html?page=4,200
公司简介,公司简介,https://www.fortunevc.com/favicon.ico,en,公司简介,[],4964c417-6cd3-44b7-b44f-3f2a32c6eb18,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/aboutinfo/id/2.html,https://www.fortunevc.com/index/aboutinfo/id/2.html,200
达晨获评融中年度创业投资机构TOP5、最佳回报、最佳募资、最佳投后管理等奖项,https://www.fortunevc.com/favicon.ico,en,[],b1b28fcb-c839-484a-8a77-0315ff5a9178,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3712.html,https://www.fortunevc.com/index/shownews/id/3712.html,200
中国证监会发布《关于资本市场做好金融“五篇大文章”的实施意见》,https://www.fortunevc.com/favicon.ico,en,[],c8da9e52-bb5d-4d63-a27b-0f39583e8e96,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3718.html,https://www.fortunevc.com/index/shownews/id/3718.html,200
管理团队_梁国智,https://www.fortunevc.com/favicon.ico,en,[],363f7e93-075a-4b85-9d0f-5b9e7081dc12,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/266.html,https://www.fortunevc.com/index/teaminfo/id/266.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],099e4562-1d92-4011-81e3-f2d7167668a2,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=5,https://www.fortunevc.com/index/project.html?page=5,200
315，财哥宝妹来了,https://www.fortunevc.com/favicon.ico,en,[],437e9c06-0c9c-415b-9647-37baf7599914,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/3605.html,https://www.fortunevc.com/index/showeducate/id/3605.html,200
董事长致词,董事长致词,https://www.fortunevc.com/favicon.ico,en,董事长致词,[],340831a1-f889-40a1-81a9-929ae99fd36c,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/aboutinfo/id/29.html,https://www.fortunevc.com/index/aboutinfo/id/29.html,200
国家重点实验室，孕育出一个海洋勘探重点项目 | 达晨Family,https://www.fortunevc.com/favicon.ico,en,[],69f23ada-909b-4f4d-9dda-65fcec452421,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3715.html,https://www.fortunevc.com/index/shownews/id/3715.html,200
3D扫描第一股思看科技登陆科创板,https://www.fortunevc.com/favicon.ico,en,[],97094247-3962-4244-9bf6-6def4ef4737c,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3710.html,https://www.fortunevc.com/index/shownews/id/3710.html,200
管理团队_窦  勇,https://www.fortunevc.com/favicon.ico,en,[],8a25a20b-d48f-49c8-9c12-daac2c038ada,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/268.html,https://www.fortunevc.com/index/teaminfo/id/268.html,200
